2021-03-20 12:41:53.835461{'uuid': '0c3727cc-6084-4efa-b057-fb3578cc7e45', 'side': 'bid', 'ord_type': 'limit', 'price': '294.0', 'state': 'wait', 'market': 'KRW-META', 'created_at': '2021-03-20T21:41:53+09:00', 'volume': '340.13605442', 'remaining_volume': '340.13605442', 'reserved_fee': '49.99999999974', 'remaining_fee': '49.99999999974', 'paid_fee': '0.0', 'locked': '100049.99999947974', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-20 13:57:06.325480{'uuid': 'f14609bc-850f-4b58-a550-c608c4211054', 'side': 'bid', 'ord_type': 'limit', 'price': '263.0', 'state': 'wait', 'market': 'KRW-MOC', 'created_at': '2021-03-20T22:57:06+09:00', 'volume': '380.22813688', 'remaining_volume': '380.22813688', 'reserved_fee': '49.99999999972', 'remaining_fee': '49.99999999972', 'paid_fee': '0.0', 'locked': '100049.99999943972', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-20 14:03:00.858721{'uuid': 'c74af554-af7e-4b9f-8837-cca4c84edd43', 'side': 'bid', 'ord_type': 'limit', 'price': '8.0', 'state': 'wait', 'market': 'KRW-NPXS', 'created_at': '2021-03-20T23:03:00+09:00', 'volume': '12500.0', 'remaining_volume': '12500.0', 'reserved_fee': '50.0', 'remaining_fee': '50.0', 'paid_fee': '0.0', 'locked': '100050.0', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-20 22:34:02.237434{'error': {'message': '주문가능한 금액(KRW)이 부족합니다.', 'name': 'insufficient_funds_bid'}}
2021-03-21 01:12:33.975846{'uuid': 'c6cc1f63-06ec-48da-9f13-bc9faf35c2cc', 'side': 'bid', 'ord_type': 'limit', 'price': '29.0', 'state': 'wait', 'market': 'KRW-MBL', 'created_at': '2021-03-21T10:12:33+09:00', 'volume': '3448.27586206', 'remaining_volume': '3448.27586206', 'reserved_fee': '49.99999999987', 'remaining_fee': '49.99999999987', 'paid_fee': '0.0', 'locked': '100049.99999973987', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-21 02:11:17.667544{'uuid': '1db0d7af-d222-4b7a-b993-031c557e1449', 'side': 'bid', 'ord_type': 'limit', 'price': '38.6', 'state': 'wait', 'market': 'KRW-RFR', 'created_at': '2021-03-21T11:11:17+09:00', 'volume': '2631.57894736', 'remaining_volume': '2631.57894736', 'reserved_fee': '50.789473684048', 'remaining_fee': '50.789473684048', 'paid_fee': '0.0', 'locked': '101629.736841780048', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-21 20:09:22.539245{'uuid': '279dfc4f-1e2f-49af-8d07-a6f4185f3085', 'side': 'bid', 'ord_type': 'limit', 'price': '8.7', 'state': 'wait', 'market': 'KRW-NPXS', 'created_at': '2021-03-22T05:09:22+09:00', 'volume': '12500.0', 'remaining_volume': '12500.0', 'reserved_fee': '54.375', 'remaining_fee': '54.375', 'paid_fee': '0.0', 'locked': '108804.375', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-21 20:52:55.447328{'uuid': '39f405e7-4c41-4042-9fdf-d97aef0c5d58', 'side': 'bid', 'ord_type': 'limit', 'price': '4.5', 'state': 'wait', 'market': 'KRW-BTT', 'created_at': '2021-03-22T05:52:55+09:00', 'volume': '25000.0', 'remaining_volume': '25000.0', 'reserved_fee': '56.25', 'remaining_fee': '56.25', 'paid_fee': '0.0', 'locked': '112556.25', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-22 00:11:30.530985{'uuid': 'e9607334-cb81-4699-a1c4-c1ba1ea9a7bd', 'side': 'bid', 'ord_type': 'limit', 'price': '36.1', 'state': 'wait', 'market': 'KRW-AHT', 'created_at': '2021-03-22T09:11:30+09:00', 'volume': '2777.77777777', 'remaining_volume': '2777.77777777', 'reserved_fee': '50.1388888887485', 'remaining_fee': '50.1388888887485', 'paid_fee': '0.0', 'locked': '100327.9166663857485', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-22 00:23:41.099073{'uuid': '45c14b1c-c55b-426f-8b99-6cbc8b9f3598', 'side': 'bid', 'ord_type': 'limit', 'price': '117.0', 'state': 'wait', 'market': 'KRW-MED', 'created_at': '2021-03-22T09:23:41+09:00', 'volume': '854.7008547', 'remaining_volume': '854.7008547', 'reserved_fee': '49.99999999995', 'remaining_fee': '49.99999999995', 'paid_fee': '0.0', 'locked': '100049.99999989995', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-22 06:58:30.363726{'uuid': 'a573dadc-6fd3-4e16-84c5-a0ca18a2df9f', 'side': 'bid', 'ord_type': 'limit', 'price': '108.0', 'state': 'wait', 'market': 'KRW-SPND', 'created_at': '2021-03-22T15:58:30+09:00', 'volume': '925.92592592', 'remaining_volume': '925.92592592', 'reserved_fee': '49.99999999968', 'remaining_fee': '49.99999999968', 'paid_fee': '0.0', 'locked': '100049.99999935968', 'executed_volume': '0.0', 'trades_count': 0}
